,Date,Value
383,2017-01-18,874.99
384,2017-01-19,895.798875
385,2017-01-20,893.6210875
386,2017-01-21,920.4479
387,2017-01-22,918.603625
388,2017-01-23,922.0736125
389,2017-01-24,890.320225
390,2017-01-25,893.045625
391,2017-01-26,915.95625
392,2017-01-27,919.27975
393,2017-01-28,920.31225
394,2017-01-29,915.933
395,2017-01-30,921.179325
396,2017-01-31,964.706075
397,2017-02-01,979.703875
398,2017-02-02,1007.6137125
399,2017-02-03,1013.0269999999999
400,2017-02-04,1030.9994125
401,2017-02-05,1014.837725
402,2017-02-06,1024.01375
403,2017-02-07,1050.11
404,2017-02-08,1052.3766125
405,2017-02-09,976.1030000000001
406,2017-02-10,999.1035
407,2017-02-11,1008.8466625
408,2017-02-12,1000.604625
409,2017-02-13,999.877375
410,2017-02-14,1011.78025
411,2017-02-15,1012.3259875
412,2017-02-16,1035.208125
413,2017-02-17,1055.53685
414,2017-02-18,1056.6371375
415,2017-02-19,1052.77928571
416,2017-02-20,1084.7550125
417,2017-02-21,1123.78842857
418,2017-02-22,1123.2231875
419,2017-02-23,1172.01715
420,2017-02-24,1174.86625
421,2017-02-25,1150.60571429
422,2017-02-26,1175.04975
423,2017-02-27,1190.75195
424,2017-02-28,1187.56528571
425,2017-03-01,1222.4994
426,2017-03-02,1259.41081667
427,2017-03-03,1285.14
428,2017-03-04,1267.0272
429,2017-03-05,1270.9333
430,2017-03-06,1275.197375
431,2017-03-07,1238.447
432,2017-03-08,1157.3933
433,2017-03-09,1192.46914286
434,2017-03-10,1098.61712857
435,2017-03-11,1179.159875
436,2017-03-12,1227.494625
437,2017-03-13,1239.816225
438,2017-03-14,1245.37078571
439,2017-03-15,1257.399625
440,2017-03-16,1180.94565714
441,2017-03-17,1091.1718875
442,2017-03-18,952.2323625
443,2017-03-19,1029.8008125
444,2017-03-20,1049.0844875
445,2017-03-21,1118.63004286
446,2017-03-22,1028.7268625
447,2017-03-23,1038.789
448,2017-03-24,941.919714286
449,2017-03-25,959.3400857139999
450,2017-03-26,956.7863125
451,2017-03-27,1037.22925
452,2017-03-28,1046.127625
453,2017-03-29,1040.5755
454,2017-03-30,1037.90455
455,2017-03-31,1079.54931429
456,2017-04-01,1086.92957143
457,2017-04-02,1099.169125
458,2017-04-03,1141.813
459,2017-04-04,1141.6003625
460,2017-04-05,1133.07931429
461,2017-04-06,1196.3079375
462,2017-04-07,1190.45425
463,2017-04-08,1181.1498375
464,2017-04-09,1208.8005
465,2017-04-10,1207.744875
466,2017-04-11,1226.6170375
467,2017-04-12,1218.92205
468,2017-04-13,1180.0237125
469,2017-04-14,1185.26005714
470,2017-04-15,1184.88067143
471,2017-04-16,1186.9274125
472,2017-04-17,1205.634875
473,2017-04-18,1216.18674286
474,2017-04-19,1217.9300875
475,2017-04-20,1241.686325
476,2017-04-21,1258.3614125
477,2017-04-22,1261.311225
478,2017-04-23,1257.9881125
479,2017-04-24,1262.902775
480,2017-04-25,1279.4146875
481,2017-04-26,1309.109875
482,2017-04-27,1345.3539125
483,2017-04-28,1331.29442857
484,2017-04-29,1334.9790375
485,2017-04-30,1353.0045
486,2017-05-01,1417.1728125
487,2017-05-02,1452.0762875
488,2017-05-03,1507.57685714
489,2017-05-04,1508.292125
490,2017-05-05,1533.33507143
491,2017-05-06,1560.4102
492,2017-05-07,1535.86842857
